RCDTS,Type,School Name,District,City,County,District Type,District Size,School Type,Grades Served,SAT Reading Average Score,SAT Math Average Score,SAT Reading Total Students Level 1 %,SAT Reading Total Students Level 2 %,SAT Reading Total Students Level 3 %,SAT Reading Total Students Level 4 %,SAT Math Total Students Level 1 %,SAT Math Total Students Level 2 %,SAT Math Total Students Level 3 %,SAT Math Total Students Level 4 %,SAT Reading Total Male Students Level 1 %,SAT Reading Total Male Students Level 2 %,SAT Reading Total Male Students Level 3 %,SAT Reading Total Male Students Level 4 %,SAT Math Total Male Students Level 1 %,SAT Math Total Male Students Level 2 %,SAT Math Total Male Students Level 3 %,SAT Math Total Male Students Level 4 %,SAT Reading Total Female Students Level 1 %,SAT Reading Total Female Students Level 2 %,SAT Reading Total Female Students Level 3 %,SAT Reading Total Female Students Level 4 %,SAT Math Total Female Students Level 1 %,SAT Math Total Female Students Level 2 %,SAT Math Total Female Students Level 3 %,SAT Math Total Female Students Level 4 %,SAT Reading Total White Students Level 1 %,SAT Reading Total White Students Level 2 %,SAT Reading Total White Students Level 3 %,SAT Reading Total White Students Level 4 %,SAT Math Total White Students Level 1 %,SAT Math Total White Students Level 2 %,SAT Math Total White Students Level 3 %,SAT Math Total White Students Level 4 %,SAT Reading Total Black or African American Students Level 1 %,SAT Reading Total Black or African American Students Level 2 %,SAT Reading Total Black or African American Students Level 3 %,SAT Reading Total Black or African American Students Level 4 %,SAT Math Total Black or African American Students Level 1 %,SAT Math Total Black or African American Students Level 2 %,SAT Math Total Black or African American Students Level 3 %,SAT Math Total Black or African American Students Level 4 %,SAT Reading Total Hispanic or Latino Students Level 1 %,SAT Reading Total Hispanic or Latino Students Level 2 %,SAT Reading Total Hispanic or Latino Students Level 3 %,SAT Reading Total Hispanic or Latino Students Level 4 %,SAT Math Total Hispanic or Latino Students Level 1 %,SAT Math Total Hispanic or Latino Students Level 2 %,SAT Math Total Hispanic or Latino Students Level 3 %,SAT Math Total Hispanic or Latino Students Level 4 %,SAT Reading Total Asian Students Level 1 %,SAT Reading Total Asian Students Level 2 %,SAT Reading Total Asian Students Level 3 %,SAT Reading Total Asian Students Level 4 %,SAT Math Total Asian Students Level 1 %,SAT Math Total Asian Students Level 2 %,SAT Math Total Asian Students Level 3 %,SAT Math Total Asian Students Level 4 %,SAT Reading Total Native Hawaiian or Other Pacific Islander Students Level 1 %,SAT Reading Total Native Hawaiian or Other Pacific Islander Students Level 2 %,SAT Reading Total Native Hawaiian or Other Pacific Islander Students Level 3 %,SAT Reading Total Native Hawaiian or Other Pacific Islander Students Level 4 %,SAT Math Total Native Hawaiian or Other Pacific Islander Students Level 1 %,SAT Math Total Native Hawaiian or Other Pacific Islander Students Level 2 %,SAT Math Total Native Hawaiian or Other Pacific Islander Students Level 3 %,SAT Math Total Native Hawaiian or Other Pacific Islander Students Level 4 %,SAT Reading Total American Indian or Alaska Native Students Level 1 %,SAT Reading Total American Indian or Alaska Native Students Level 2 %,SAT Reading Total American Indian or Alaska Native Students Level 3 %,SAT Reading Total American Indian or Alaska Native Students Level 4 %,SAT Math Total American Indian or Alaska Native Students Level 1 %,SAT Math Total American Indian or Alaska Native Students Level 2 %,SAT Math Total American Indian or Alaska Native Students Level 3 %,SAT Math Total American Indian or Alaska Native Students Level 4 %,SAT Reading Total Two or More Race Students Level 1 %,SAT Reading Total Two or More Race Students Level 2 %,SAT Reading Total Two or More Race Students Level 3 %,SAT Reading Total Two or More Race Students Level 4 %,SAT Math Total Two or More Race Students Level 1 %,SAT Math Total Two or More Race Students Level 2 %,SAT Math Total Two or More Race Students Level 3 %,SAT Math Total Two or More Race Students Level 4 %,SAT Reading Total Children with Disabilities Students Level 1 %,SAT Reading Total Children with Disabilities Students Level 2 %,SAT Reading Total Children with Disabilities Students Level 3 %,SAT Reading Total Children with Disabilities Students Level 4 %,SAT Math Total Children with Disabilities Students Level 1 %,SAT Math Total Children with Disabilities Students Level 2 %,SAT Math Total Children with Disabilities Students Level 3 %,SAT Math Total Children with Disabilities Students Level 4 %,SAT Reading Total EL Students Level 1 %,SAT Reading Total EL Students Level 2 %,SAT Reading Total EL Students Level 3 %,SAT Reading Total EL Students Level 4 %,SAT Math Total EL Students Level 1 %,SAT Math Total EL Students Level 2 %,SAT Math Total EL Students Level 3 %,SAT Math Total EL Students Level 4 %,SAT Reading Total IEP Students Level 1 %,SAT Reading Total IEP Students Level 2 %,SAT Reading Total IEP Students Level 3 %,SAT Reading Total IEP Students Level 4 %,SAT Math Total IEP Students Level 1 %,SAT Math Total IEP Students Level 2 %,SAT Math Total IEP Students Level 3 %,SAT Math Total IEP Students Level 4 %,SAT Reading Total Non-IEP Students Level 1 %,SAT Reading Total Non-IEP Students Level 2 %,SAT Reading Total Non-IEP Students Level 3 %,SAT Reading Total Non-IEP Students Level 4 %,SAT Math Total Non-IEP Students Level 1 %,SAT Math Total Non-IEP Students Level 2 %,SAT Math Total Non-IEP Students Level 3 %,SAT Math Total Non-IEP Students Level 4 %,SAT Reading Total Low Income Students Level 1 %,SAT Reading Total Low Income Students Level 2 %,SAT Reading Total Low Income Students Level 3 %,SAT Reading Total Low Income Students Level 4 %,SAT Math Total Low Income Students Level 1 %,SAT Math Total Low Income Students Level 2 %,SAT Math Total Low Income Students Level 3 %,SAT Math Total Low Income Students Level 4 %,SAT Reading Total Non-Low Income Students Level 1 %,SAT Reading Total Non-Low Income Students Level 2 %,SAT Reading Total Non-Low Income Students Level 3 %,SAT Reading Total Non-Low Income Students Level 4 %,SAT Math Total Non-Low Income Students Level 1 %,SAT Math Total Non-Low Income Students Level 2 %,SAT Math Total Non-Low Income Students Level 3 %,SAT Math Total Non-Low Income Students Level 4 %,SAT Reading Total Youth in Care Students Level 1 %,SAT Reading Total Youth in Care Students Level 2 %,SAT Reading Total Youth in Care Students Level 3 %,SAT Reading Total Youth in Care Students Level 4 %,SAT Math Total Youth in Care Students Level 1 %,SAT Math Total Youth in Care Students Level 2 %,SAT Math Total Youth in Care Students Level 3 %,SAT Math Total Youth in Care Students Level 4 %,SAT Reading Total Homeless Students Level 1 %,SAT Reading Total Homeless Students Level 2 %,SAT Reading Total Homeless Students Level 3 %,SAT Reading Total Homeless Students Level 4 %,SAT Math Total Homeless Students Level 1 %,SAT Math Total Homeless Students Level 2 %,SAT Math Total Homeless Students Level 3 %,SAT Math Total Homeless Students Level 4 %,SAT Reading Total Migrant Students Level 1 %,SAT Reading Total Migrant Students Level 2 %,SAT Reading Total Migrant Students Level 3 %,SAT Reading Total Migrant Students Level 4 %,SAT Math Total Migrant Students Level 1 %,SAT Math Total Migrant Students Level 2 %,SAT Math Total Migrant Students Level 3 %,SAT Math Total Migrant Students Level 4 %,SAT Reading Total Military Students Level 1 %,SAT Reading Total Military Students Level 2 %,SAT Reading Total Military Students Level 3 %,SAT Reading Total Military Students Level 4 %,SAT Math Total Military Students Level 1 %,SAT Math Total Military Students Level 2 %,SAT Math Total Military Students Level 3 %,SAT Math Total Military Students Level 4 %,# Students SAT Math Participation,# SAT Math Participation - Male,# SAT Math Participation - Female,# SAT Math Participation - White,# SAT Math Participation - Black or African American,# SAT Math Participation - Hispanic or Latino,# SAT Math Participation - Asian,# SAT Math Participation - Native Hawaiian or Other Pacific Islander,# SAT Math Participation - American Indian or Alaska Native,# SAT Math Participation - Two or More Race,# SAT Math Participation - Children with Disabilities,# SAT Math Participation - IEP,# SAT Math Participation - EL,# SAT Math Participation - Low Income,% Students SAT Math Participation ,% SAT Math Participation - Male,% SAT Math Participation - Female,% SAT Math Participation - White,% SAT Math Participation - Black or African American,% SAT Math Participation - Hispanic or Latino,% SAT Math Participation - Asian,% SAT Math Participation - Native Hawaiian or Other Pacific Islander,% SAT Math Participation - American Indian or Alaska Native,% SAT Math Participation - Two or More Race,% SAT Math Participation - Children with Disabilities,% SAT Math Participation - IEP,% SAT Math Participation - EL,% SAT Math Participation - Low Income,# Students SAT ELA Participation,# SAT ELA Participation - Female,# SAT ELA Participation - Male,# SAT ELA Participation - White,# SAT ELA Participation - Black or African American,# SAT ELA Participation - Hispanic or Latino,# SAT ELA Participation - Asian,# SAT ELA Participation - Native Hawaiian or Other Pacific Islander,# SAT ELA Participation - American Indian or Alaska Native,# SAT ELA Participation - Two or More Race,# SAT ELA Participation - Children with Disabilities,# SAT ELA Participation - IEP,# SAT ELA Participation - EL,# SAT ELA Participation - Low Income,% SAT ELA Participation,% SAT ELA Participation - Female , % SAT ELA Participation - Male,% SAT ELA Participation - White,% SAT ELA Participation - Black or African American,% SAT ELA Participation - Hispanic or Latino,% SAT ELA Participation - Asian,% SAT ELA Participation - Native Hawaiian or Other Pacific Islander,% SAT ELA Participation - American Indian or Alaska Native,% SAT ELA Participation - Two or More Race,% SAT ELA Participation - Children with Disabilities,% SAT ELA Participation - IEP,% SAT ELA Participation - EL,% SAT ELA Participation - Low Income,SAT ELA No Participation Rate - Total,SAT ELA No Participation Rate - White,SAT ELA No Participation Rate - Black or African American,SAT ELA No Participation Rate - Hispanic or Latino,SAT ELA No Participation Rate - Asian,SAT ELA No Participation Rate - Native Hawaiian or Other Pacific Islander,SAT ELA No Participation Rate - American Indian or Alaska Native,SAT ELA No Participation Rate - Two or More Races,SAT ELA No Participation Rate - Male,SAT ELA No Participation Rate - Female,SAT ELA No Participation Rate - CWD,SAT ELA No Participation Rate - IEP,SAT ELA No Participation Rate - EL,SAT ELA No Participation Rate - Low Income,SAT Math No Participation Rate - Total,SAT Math No Participation Rate - White,SAT Math No Participation Rate - Black or African American,SAT Math No Participation Rate - Hispanic or Latino,SAT Math No Participation Rate - Asian,SAT Math No Participation Rate - Native Hawaiian or Other Pacific Islander,SAT Math No Participation Rate - American Indian or Alaska Native,SAT Math No Participation Rate - Two or More Races,SAT Math No Participation Rate - Male,SAT Math No Participation Rate - Female,SAT Math No Participation Rate - CWD,SAT Math No Participation Rate - IEP,SAT Math No Participation Rate - EL,SAT Math No Participation Rate - Low Income
010010010260000,District,,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,,PK - 12,473.4,455.2,37.9,41.4,17.2,3.4,44.8,41.4,10.3,3.4,50,31.3,18.8,0,50,37.5,6.3,6.3,23.1,53.8,15.4,7.7,38.5,46.2,15.4,0,37,44.4,14.8,3.7,44.4,40.7,11.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,46.2,19.2,3.8,38.5,46.2,11.5,3.8,27.3,36.4,36.4,0,36.4,54.5,9.1,0,44.4,44.4,5.6,5.6,50,33.3,11.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16,13,27,,,,,,,,,,11,100,100,100,100,,,,,,,,,,100,29,16,13,27,,,,,,,,,,11,100,100,100,100,,,,,,,,,,100,0,0,,,,,,,0,0,,,,0,0,0,,,,,,,0,0,,,,0
010010010260001,School,Seymour High School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,473.4,455.2,37.9,41.4,17.2,3.4,44.8,41.4,10.3,3.4,50,31.3,18.8,0,50,37.5,6.3,6.3,23.1,53.8,15.4,7.7,38.5,46.2,15.4,0,37,44.4,14.8,3.7,44.4,40.7,11.1,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8,46.2,19.2,3.8,38.5,46.2,11.5,3.8,27.3,36.4,36.4,0,36.4,54.5,9.1,0,44.4,44.4,5.6,5.6,50,33.3,11.1,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,16,13,27,,,,,,,,,,11,100,100,100,100,,,,,,,,,,100,29,16,13,27,,,,,,,,,,11,100,100,100,100,,,,,,,,,,100,0,0,,,,,,,0,0,,,,0,0,0,,,,,,,0,0,,,,0
010010010262002,School,Seymour Elementary School,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010020260000,District,,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,,PK - 12,470.2,481.5,38.9,35.2,22.2,3.7,40.7,20.4,35.2,3.7,44.4,33.3,14.8,7.4,40.7,18.5,33.3,7.4,33.3,37,29.6,0,40.7,22.2,37,0,36.2,36.2,23.4,4.3,38.3,17,40.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,29.4,0,0,94.1,5.9,0,0,,,,,,,,,80,20,0,0,93.3,6.7,0,0,23.1,41,30.8,5.1,20.5,25.6,48.7,5.1,60,26.7,13.3,0,73.3,20,6.7,0,30.8,38.5,25.6,5.1,28.2,20.5,46.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,27,27,47,,,,,,,17,15,,15,100,100,100,100,,,,,,,100,100,,100,54,27,27,47,,,,,,,17,15,,15,100,100,100,100,,,,,,,100,100,,100,0,0,,,,,,,0,0,0,0,,0,0,0,,,,,,,0,0,0,0,,0
010010020260001,School,Liberty High School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,470.2,481.5,38.9,35.2,22.2,3.7,40.7,20.4,35.2,3.7,44.4,33.3,14.8,7.4,40.7,18.5,33.3,7.4,33.3,37,29.6,0,40.7,22.2,37,0,36.2,36.2,23.4,4.3,38.3,17,40.4,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.6,29.4,0,0,94.1,5.9,0,0,,,,,,,,,80,20,0,0,93.3,6.7,0,0,23.1,41,30.8,5.1,20.5,25.6,48.7,5.1,60,26.7,13.3,0,73.3,20,6.7,0,30.8,38.5,25.6,5.1,28.2,20.5,46.2,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,27,27,47,,,,,,,17,15,,15,100,100,100,100,,,,,,,100,100,,100,54,27,27,47,,,,,,,17,15,,15,100,100,100,100,,,,,,,100,100,,100,0,0,,,,,,,0,0,0,0,,0,0,0,,,,,,,0,0,0,0,,0
010010020262002,School,Liberty Elementary School,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030260000,District,,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,,PK - 12,506.2,507.1,18.5,43.1,30.8,7.7,26.2,35.4,36.9,1.5,16.2,51.4,24.3,8.1,21.6,37.8,40.5,0,21.4,32.1,39.3,7.1,32.1,32.1,32.1,3.6,17.7,43.5,30.6,8.1,25.8,37.1,37.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,41.4,34.5,8.6,19,37.9,41.4,1.7,33.3,40.7,18.5,7.4,33.3,40.7,25.9,0,7.9,44.7,39.5,7.9,21.1,31.6,44.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,37,28,62,,,,,,,,,,27,97,100,93.3,96.9,,,,,,,,,,93.1,65,37,28,62,,,,,,,,,,27,97,100,93.3,96.9,,,,,,,,,,93.1,3,3.1,,,,,,,0,6.7,,,,6.9,3,3.1,,,,,,,0,6.7,,,,6.9
010010030260001,School,Central High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,506.2,507.1,18.5,43.1,30.8,7.7,26.2,35.4,36.9,1.5,16.2,51.4,24.3,8.1,21.6,37.8,40.5,0,21.4,32.1,39.3,7.1,32.1,32.1,32.1,3.6,17.7,43.5,30.6,8.1,25.8,37.1,37.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,41.4,34.5,8.6,19,37.9,41.4,1.7,33.3,40.7,18.5,7.4,33.3,40.7,25.9,0,7.9,44.7,39.5,7.9,21.1,31.6,44.7,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,37,28,62,,,,,,,,,,27,97,100,93.3,96.9,,,,,,,,,,93.1,65,37,28,62,,,,,,,,,,27,97,100,93.3,96.9,,,,,,,,,,93.1,3,3.1,,,,,,,0,6.7,,,,6.9,3,3.1,,,,,,,0,6.7,,,,6.9
010010030261001,School,Central Junior High School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030262003,School,Central Elementary Grade School,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,ELEMENTARY,PK - 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010010030262008,School,Central 3-4 Middle School,Central CUSD 3,Golden,Adams,UNIT,MEDIUM,ELEMENTARY,3 - 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
